ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2021-04-15,648.9488957236981,581.2114398526558,709.235459593362,648.9488957236981,648.9488957236981,-2.642168041371683,-2.642168041371683,-2.642168041371683,-0.7764225259014282,-0.7764225259014282,-0.7764225259014282,-1.8657455154702551,-1.8657455154702551,-1.8657455154702551,0.0,0.0,0.0,646.3067276823265
2021-04-16,650.1197419232116,581.5971263666615,709.5605427791666,650.1197419232116,650.1197419232116,-3.2238868804044802,-3.2238868804044802,-3.2238868804044802,-1.5915505664945775,-1.5915505664945775,-1.5915505664945775,-1.6323363139099023,-1.6323363139099023,-1.6323363139099023,0.0,0.0,0.0,646.895855042807
2021-04-19,653.6322805217512,590.8448309081721,716.4616468666454,653.6322805217512,653.6322805217512,-1.065712830291996,-1.065712830291996,-1.065712830291996,0.09055894212272055,0.09055894212272055,0.09055894212272055,-1.1562717724147167,-1.1562717724147167,-1.1562717724147167,0.0,0.0,0.0,652.5665676914592
2021-04-20,654.8031267212641,588.9648410508281,713.3713384065094,654.8031267212641,654.8031267212641,-1.2399773843844628,-1.2399773843844628,-1.2399773843844628,-0.1441188572474678,-0.1441188572474678,-0.1441188572474678,-1.0958585271369952,-1.0958585271369952,-1.0958585271369952,0.0,0.0,0.0,653.5631493368796
2021-04-21,655.9739729207776,589.9652724192333,717.6050503792063,655.9739729207776,655.9739729207776,-1.0896211140948349,-1.0896211140948349,-1.0896211140948349,0.007037805280550518,0.007037805280550518,0.007037805280550518,-1.0966589193753853,-1.0966589193753853,-1.0966589193753853,0.0,0.0,0.0,654.8843518066827
2021-04-22,657.144819120291,591.6225584541206,718.5389010804241,657.144819120291,657.144819120291,-1.9419615284034526,-1.9419615284034526,-1.9419615284034526,-0.776422525903525,-0.776422525903525,-0.776422525903525,-1.1655390024999275,-1.1655390024999275,-1.1655390024999275,0.0,0.0,0.0,655.2028575918876
2021-04-23,658.3156653198039,596.7790862055416,711.7844107365729,658.3156653198039,658.3156653198039,-2.90028188610992,-2.90028188610992,-2.90028188610992,-1.591550566493338,-1.591550566493338,-1.591550566493338,-1.3087313196165822,-1.3087313196165822,-1.3087313196165822,0.0,0.0,0.0,655.4153834336939
2021-04-26,661.8282039183435,597.8726118370066,724.2682954780938,661.8282039183435,661.8282039183435,-2.141092786891395,-2.141092786891395,-2.141092786891395,0.09055894211889927,0.09055894211889927,0.09055894211889927,-2.2316517290102946,-2.2316517290102946,-2.2316517290102946,0.0,0.0,0.0,659.6871111314522
2021-04-27,662.999050117857,598.1396431106051,722.3638571564607,662.999050117857,662.999050117857,-2.8571665378799045,-2.8571665378799045,-2.8571665378799045,-0.14411885724385615,-0.14411885724385615,-0.14411885724385615,-2.7130476806360484,-2.7130476806360484,-2.7130476806360484,0.0,0.0,0.0,660.141883579977
2021-04-28,664.1698963173704,597.9230598141602,724.4083373708999,664.1698963173704,664.1698963173704,-3.275054374851762,-3.275054374851762,-3.275054374851762,0.00703780528186142,0.00703780528186142,0.00703780528186142,-3.282092180133623,-3.282092180133623,-3.282092180133623,0.0,0.0,0.0,660.8948419425187
2021-04-29,665.3407425168833,594.0583533912811,723.0721074912094,665.3407425168833,665.3407425168833,-4.713081278527501,-4.713081278527501,-4.713081278527501,-0.7764225258985472,-0.7764225258985472,-0.7764225258985472,-3.9366587526289534,-3.9366587526289534,-3.9366587526289534,0.0,0.0,0.0,660.6276612383558
2021-04-30,666.5115887163967,595.58549746834,729.7305435847124,666.5115887163967,666.5115887163967,-6.2643622260379415,-6.2643622260379415,-6.2643622260379415,-1.5915505664920984,-1.5915505664920984,-1.5915505664920984,-4.672811659545843,-4.672811659545843,-4.672811659545843,0.0,0.0,0.0,660.2472264903587
2021-05-03,670.0241273149364,599.0607097205618,724.2876368002592,670.0241273149364,670.0241273149364,-7.214297759707947,-7.214297759707947,-7.214297759707947,0.09055894211984583,0.09055894211984583,0.09055894211984583,-7.304856701827792,-7.304856701827792,-7.304856701827792,0.0,0.0,0.0,662.8098295552285
2021-05-04,671.1949735144499,601.147867466761,720.7495107416801,671.1949735144499,671.1949735144499,-8.437359341865625,-8.437359341865625,-8.437359341865625,-0.14411885724529166,-0.14411885724529166,-0.14411885724529166,-8.293240484620334,-8.293240484620334,-8.293240484620334,0.0,0.0,0.0,662.7576141725842
2021-05-05,672.3658197139628,593.5181921302315,722.9800611607957,672.3658197139628,672.3658197139628,-9.311500816700773,-9.311500816700773,-9.311500816700773,0.007037805280828046,0.007037805280828046,0.007037805280828046,-9.3185386219816,-9.3185386219816,-9.3185386219816,0.0,0.0,0.0,663.054318897262
2021-05-06,673.5366659134761,600.7627292784766,722.3391752182772,673.5366659134761,673.5366659134761,-11.14436185888279,-11.14436185888279,-11.14436185888279,-0.7764225259006443,-0.7764225259006443,-0.7764225259006443,-10.367939332982147,-10.367939332982147,-10.367939332982147,0.0,0.0,0.0,662.3923040545933
2021-05-07,674.7075121129895,603.582524422026,725.6415493722939,674.7075121129895,674.7075121129895,-13.019459358490177,-13.019459358490177,-13.019459358490177,-1.5915505664914873,-1.5915505664914873,-1.5915505664914873,-11.427908791998691,-11.427908791998691,-11.427908791998691,0.0,0.0,0.0,661.6880527544994
2021-05-10,678.2200507115293,600.7698798163634,726.4626222674036,678.2200507115293,678.2200507115293,-14.44103591031104,-14.44103591031104,-14.44103591031104,0.09055894212333603,0.09055894212333603,0.09055894212333603,-14.531594852434377,-14.531594852434377,-14.531594852434377,0.0,0.0,0.0,663.7790148012183
2021-05-11,679.3908969110422,600.8854118870406,727.7450495124122,679.3908969110422,679.3908969110422,-15.639172683436966,-15.639172683436966,-15.639172683436966,-0.1441188572467272,-0.1441188572467272,-0.1441188572467272,-15.495053826190238,-15.495053826190238,-15.495053826190238,0.0,0.0,0.0,663.7517242276052
2021-05-12,680.5617431105557,597.9287727868328,724.0871845357738,680.5617431105557,680.5617431105557,-16.394636748971674,-16.394636748971674,-16.394636748971674,0.007037805282139282,0.007037805282139282,0.007037805282139282,-16.401674554253816,-16.401674554253816,-16.401674554253816,0.0,0.0,0.0,664.1671063615839
2021-05-13,681.732589310069,601.509459870906,725.7781362221281,681.732589310069,681.732589310069,-18.016689694152365,-18.016689694152365,-18.016689694152365,-0.7764225259013661,-0.7764225259013661,-0.7764225259013661,-17.240267168251002,-17.240267168251002,-17.240267168251002,0.0,0.0,0.0,663.7158996159167
2021-05-14,682.9034355095819,603.2365103659704,727.9797748083649,682.9034355095819,682.9034355095819,-19.592631752073213,-19.592631752073213,-19.592631752073213,-1.5915505664902476,-1.5915505664902476,-1.5915505664902476,-18.001081185582965,-18.001081185582965,-18.001081185582965,0.0,0.0,0.0,663.3108037575087
2021-05-17,686.4159741081216,604.0961107837913,732.6096054287303,686.4159741081216,686.4159741081216,-19.6548559222991,-19.6548559222991,-19.6548559222991,0.09055894212428256,0.09055894212428256,0.09055894212428256,-19.745414864423378,-19.745414864423378,-19.745414864423378,0.0,0.0,0.0,666.7611181858225
2021-05-18,687.5868203076351,601.8683141121066,732.3535817506892,687.5868203076351,687.5868203076351,-20.277541144441003,-20.277541144441003,-20.277541144441003,-0.14411885724311546,-0.14411885724311546,-0.14411885724311546,-20.133422287197888,-20.133422287197888,-20.133422287197888,0.0,0.0,0.0,667.3092791631941
2021-05-19,688.7576665071484,607.2739507252428,731.7771177153459,688.7576665071484,688.7576665071484,-20.415794891534674,-20.415794891534674,-20.415794891534674,0.007037805279123136,0.007037805279123136,0.007037805279123136,-20.422832696813796,-20.422832696813796,-20.422832696813796,0.0,0.0,0.0,668.3418716156137
2021-05-20,689.9285127066613,601.7008246093521,732.064929446364,689.9285127066613,689.9285127066613,-21.392049266095928,-21.392049266095928,-21.392049266095928,-0.776422525902088,-0.776422525902088,-0.776422525902088,-20.61562674019384,-20.61562674019384,-20.61562674019384,0.0,0.0,0.0,668.5364634405654
2021-05-21,691.0993589061748,602.7171986944699,727.7381734576525,691.0993589061748,691.0993589061748,-22.307312582915618,-22.307312582915618,-22.307312582915618,-1.5915505664948126,-1.5915505664948126,-1.5915505664948126,-20.715762016420804,-20.715762016420804,-20.715762016420804,0.0,0.0,0.0,668.7920463232591
2021-05-24,694.6118975047145,613.7809310853821,737.7811758002917,694.6118975047145,694.6118975047145,-20.435617672790205,-20.435617672790205,-20.435617672790205,0.09055894212284514,0.09055894212284514,0.09055894212284514,-20.526176614913048,-20.526176614913048,-20.526176614913048,0.0,0.0,0.0,674.1762798319244
